path	line	function	kind	detail
devtools/error_overlay_actions.go	29	cloneErrorOverlayActions	missing_godoc	function has no GoDoc comment
devtools/error_overlay_actions.go	29	cloneErrorOverlayActions	name_prefix	name does not start with approved verb/boolean prefix
devtools/extension_sections.go	23	InspectExtensionSections	name_prefix	name does not start with approved verb/boolean prefix
devtools/extension_sections.go	29	cloneExtensionSections	missing_godoc	function has no GoDoc comment
devtools/extension_sections.go	29	cloneExtensionSections	name_prefix	name does not start with approved verb/boolean prefix
devtools/micro_benchmark_test.go	5	BenchmarkSnapshotNowMicro	missing_godoc	function has no GoDoc comment
devtools/micro_benchmark_test.go	5	BenchmarkSnapshotNowMicro	name_prefix	name does not start with approved verb/boolean prefix
devtools/micro_benchmark_test.go	12	BenchmarkCompareSnapshotsMicro	missing_godoc	function has no GoDoc comment
devtools/micro_benchmark_test.go	12	BenchmarkCompareSnapshotsMicro	name_prefix	name does not start with approved verb/boolean prefix
devtools/multi_client_state.go	23	InspectMultiClient	name_prefix	name does not start with approved verb/boolean prefix
devtools/multi_client_state.go	29	cloneMultiClient	missing_godoc	function has no GoDoc comment
devtools/multi_client_state.go	29	cloneMultiClient	name_prefix	name does not start with approved verb/boolean prefix
devtools/multi_client_state.go	63	cloneMultiClientStringMap	missing_godoc	function has no GoDoc comment
devtools/multi_client_state.go	63	cloneMultiClientStringMap	name_prefix	name does not start with approved verb/boolean prefix
devtools/serialization_boundaries.go	30	InspectSerializationBoundaries	name_prefix	name does not start with approved verb/boolean prefix
devtools/serialization_boundaries.go	37	InspectBootstrapBoundaries	name_prefix	name does not start with approved verb/boolean prefix
devtools/serialization_boundaries.go	93	appendBoundaryNotes	missing_godoc	function has no GoDoc comment
devtools/serialization_boundaries.go	93	appendBoundaryNotes	name_prefix	name does not start with approved verb/boolean prefix
devtools/serialization_boundaries.go	104	boundaryStatus	missing_godoc	function has no GoDoc comment
devtools/serialization_boundaries.go	104	boundaryStatus	name_prefix	name does not start with approved verb/boolean prefix
devtools/serialization_boundaries.go	114	approximateBoundarySize	missing_godoc	function has no GoDoc comment
devtools/serialization_boundaries.go	114	approximateBoundarySize	name_prefix	name does not start with approved verb/boolean prefix
devtools/serialization_boundaries.go	131	cloneBoundaryInspection	missing_godoc	function has no GoDoc comment
devtools/serialization_boundaries.go	131	cloneBoundaryInspection	name_prefix	name does not start with approved verb/boolean prefix
devtools/snapshot_export.go	12	ExportSnapshotJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/snapshot_export.go	17	CompareSnapshots	name_prefix	name does not start with approved verb/boolean prefix
devtools/snapshot_export.go	74	fingerprint	missing_godoc	function has no GoDoc comment
devtools/snapshot_export.go	74	fingerprint	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	21	CaptureSupportDiagnosticBundle	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	26	SanitizeBugCaptureBundleForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	49	ExportSupportDiagnosticBundleJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	54	ImportSupportDiagnosticBundleJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	80	sanitizeSnapshotForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	80	sanitizeSnapshotForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	95	sanitizeRouteForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	95	sanitizeRouteForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	114	sanitizeRouteMetadataForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	114	sanitizeRouteMetadataForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	121	sanitizeCacheEntriesForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	121	sanitizeCacheEntriesForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	131	sanitizeMultiClientForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	131	sanitizeMultiClientForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	158	sanitizeBoundaryInspectionForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	158	sanitizeBoundaryInspectionForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	172	sanitizeCoordinationForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	172	sanitizeCoordinationForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	226	sanitizeExtensionSectionsForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	226	sanitizeExtensionSectionsForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	235	sanitizeNodeForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	235	sanitizeNodeForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	258	sanitizeProfilingForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	258	sanitizeProfilingForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	275	sanitizeHydrationForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	275	sanitizeHydrationForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	282	sanitizeDiagnosticsForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	282	sanitizeDiagnosticsForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	293	sanitizeLogsForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	293	sanitizeLogsForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	303	sanitizeStringMapForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	303	sanitizeStringMapForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	318	sanitizeStringSlicesMapForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	318	sanitizeStringSlicesMapForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	336	sanitizeStringSliceForSupport	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	336	sanitizeStringSliceForSupport	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	343	redactSupportString	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	343	redactSupportString	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	368	redactSupportURL	missing_godoc	function has no GoDoc comment
devtools/support_bundle.go	368	redactSupportURL	name_prefix	name does not start with approved verb/boolean prefix
devtools/support_bundle.go	398	isSupportSensitiveKey	missing_godoc	function has no GoDoc comment
devtools/trace_capture.go	17	CaptureTrace	name_prefix	name does not start with approved verb/boolean prefix
devtools/trace_capture.go	26	ExportTraceCaptureJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/trace_capture.go	31	ImportTraceCaptureJSON	name_prefix	name does not start with approved verb/boolean prefix
devtools/trace_capture.go	61	CurrentTraceReplay	name_prefix	name does not start with approved verb/boolean prefix
devtools/trace_capture.go	70	cloneTraceCapture	missing_godoc	function has no GoDoc comment
devtools/trace_capture.go	70	cloneTraceCapture	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/diagnostics.go	14	NewReport	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/diagnostics.go	19	Emit	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/diagnostics.go	24	WriteHTTPError	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/diagnostics_benchmark_test.go	8	BenchmarkNewReport	missing_godoc	function has no GoDoc comment
diagnostics/diagnostics_benchmark_test.go	8	BenchmarkNewReport	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/diagnostics_benchmark_test.go	24	BenchmarkWriteHTTPError	missing_godoc	function has no GoDoc comment
diagnostics/diagnostics_benchmark_test.go	24	BenchmarkWriteHTTPError	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/diagnostics_test.go	9	TestPublicDiagnosticsWrappers	missing_godoc	function has no GoDoc comment
diagnostics/diagnostics_test.go	9	TestPublicDiagnosticsWrappers	name_prefix	name does not start with approved verb/boolean prefix
diagnostics/micro_benchmark_test.go	5	BenchmarkNewReportMicro	missing_godoc	function has no GoDoc comment
diagnostics/micro_benchmark_test.go	5	BenchmarkNewReportMicro	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/api_reference.go	22	setRequestedDemoAnchor	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	30	clearRequestedDemoAnchor	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	34	findScrollableAncestor	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	34	findScrollableAncestor	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/api_reference.go	51	isGroupedAPIItem	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	55	apiReferenceDocumentURL	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	55	apiReferenceDocumentURL	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/api_reference.go	66	scrollToDemoAnchor	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	66	scrollToDemoAnchor	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/api_reference.go	149	renderInjectedHTMLFragment	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	153	filterAPIReferenceSections	missing_godoc	function has no GoDoc comment
examples/00-example-0/api_reference.go	255	renderGroupedAPIReference	missing_godoc	function has no GoDoc comment
examples/00-example-0/assets/code/example-1/counter.go	15	counterToneClass	missing_godoc	function has no GoDoc comment
examples/00-example-0/assets/code/example-1/counter.go	15	counterToneClass	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/assets/code/example-1/counter.go	26	counterToneLabel	missing_godoc	function has no GoDoc comment
examples/00-example-0/assets/code/example-1/counter.go	26	counterToneLabel	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/assets/code/example-1/counter.go	37	CounterExample	missing_godoc	function has no GoDoc comment
examples/00-example-0/assets/code/example-1/counter.go	37	CounterExample	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/assets/code/example-1/counter.go	127	main	missing_godoc	function has no GoDoc comment
examples/00-example-0/assets/code/example-1/counter.go	127	main	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/assets/code/example-1/counter.go	133	resolveMountSelector	missing_godoc	function has no GoDoc comment
examples/00-example-0/assets/code/example-1/counter.go	133	resolveMountSelector	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/assets/code/example-1/counter.go	138	isEmbeddedExample	missing_godoc	function has no GoDoc comment
examples/00-example-0/logic.go	20	catalogDataURL	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/logic.go	25	docsSourceURL	name_prefix	name does not start with approved verb/boolean prefix
examples/00-example-0/logic.go	32	embeddedExampleURL	missing_godoc	function has no GoDoc comment
examples/00-example-0/logic.go	32	embeddedExampleURL	name_prefix	name does not start with approved verb/boolean prefix
