path	line	function	receiver	exported	has_godoc	godoc_first_word	name_prefix_ok
devtools/support_bundle.go	21	CaptureSupportDiagnosticBundle		true	true	CaptureSupportDiagnosticBundle	false
devtools/support_bundle.go	26	SanitizeBugCaptureBundleForSupport		true	true	SanitizeBugCaptureBundleForSupport	false
devtools/support_bundle.go	49	ExportSupportDiagnosticBundleJSON		true	true	ExportSupportDiagnosticBundleJSON	false
devtools/support_bundle.go	54	ImportSupportDiagnosticBundleJSON		true	true	ImportSupportDiagnosticBundleJSON	false
devtools/support_bundle.go	80	sanitizeSnapshotForSupport		false	false		false
devtools/support_bundle.go	95	sanitizeRouteForSupport		false	false		false
devtools/support_bundle.go	114	sanitizeRouteMetadataForSupport		false	false		false
devtools/support_bundle.go	121	sanitizeCacheEntriesForSupport		false	false		false
devtools/support_bundle.go	131	sanitizeMultiClientForSupport		false	false		false
devtools/support_bundle.go	158	sanitizeBoundaryInspectionForSupport		false	false		false
devtools/support_bundle.go	172	sanitizeCoordinationForSupport		false	false		false
devtools/support_bundle.go	226	sanitizeExtensionSectionsForSupport		false	false		false
devtools/support_bundle.go	235	sanitizeNodeForSupport		false	false		false
devtools/support_bundle.go	258	sanitizeProfilingForSupport		false	false		false
devtools/support_bundle.go	275	sanitizeHydrationForSupport		false	false		false
devtools/support_bundle.go	282	sanitizeDiagnosticsForSupport		false	false		false
devtools/support_bundle.go	293	sanitizeLogsForSupport		false	false		false
devtools/support_bundle.go	303	sanitizeStringMapForSupport		false	false		false
devtools/support_bundle.go	318	sanitizeStringSlicesMapForSupport		false	false		false
devtools/support_bundle.go	336	sanitizeStringSliceForSupport		false	false		false
devtools/support_bundle.go	343	redactSupportString		false	false		false
devtools/support_bundle.go	368	redactSupportURL		false	false		false
devtools/support_bundle.go	398	isSupportSensitiveKey		false	false		true
devtools/trace_capture.go	17	CaptureTrace		true	true	CaptureTrace	false
devtools/trace_capture.go	26	ExportTraceCaptureJSON		true	true	ExportTraceCaptureJSON	false
devtools/trace_capture.go	31	ImportTraceCaptureJSON		true	true	ImportTraceCaptureJSON	false
devtools/trace_capture.go	45	SetTraceReplay		true	true	SetTraceReplay	true
devtools/trace_capture.go	53	ClearTraceReplay		true	true	ClearTraceReplay	true
devtools/trace_capture.go	61	CurrentTraceReplay		true	true	CurrentTraceReplay	false
devtools/trace_capture.go	70	cloneTraceCapture		false	false		false
diagnostics/diagnostics.go	14	NewReport		true	true	NewReport	false
diagnostics/diagnostics.go	19	Emit		true	true	Emit	false
diagnostics/diagnostics.go	24	WriteHTTPError		true	true	WriteHTTPError	false
diagnostics/diagnostics_benchmark_test.go	8	BenchmarkNewReport		true	false		false
diagnostics/diagnostics_benchmark_test.go	24	BenchmarkWriteHTTPError		true	false		false
diagnostics/diagnostics_test.go	9	TestPublicDiagnosticsWrappers		true	false		false
diagnostics/micro_benchmark_test.go	5	BenchmarkNewReportMicro		true	false		false
examples/00-example-0/api_reference.go	22	setRequestedDemoAnchor		false	false		true
examples/00-example-0/api_reference.go	30	clearRequestedDemoAnchor		false	false		true
examples/00-example-0/api_reference.go	34	findScrollableAncestor		false	false		false
examples/00-example-0/api_reference.go	51	isGroupedAPIItem		false	false		true
examples/00-example-0/api_reference.go	55	apiReferenceDocumentURL		false	false		false
examples/00-example-0/api_reference.go	66	scrollToDemoAnchor		false	false		false
examples/00-example-0/api_reference.go	149	renderInjectedHTMLFragment		false	false		true
examples/00-example-0/api_reference.go	153	filterAPIReferenceSections		false	false		true
examples/00-example-0/api_reference.go	255	renderGroupedAPIReference		false	false		true
examples/00-example-0/assets/code/example-1/counter.go	15	counterToneClass		false	false		false
examples/00-example-0/assets/code/example-1/counter.go	26	counterToneLabel		false	false		false
examples/00-example-0/assets/code/example-1/counter.go	37	CounterExample		true	false		false
examples/00-example-0/assets/code/example-1/counter.go	127	main		false	false		false
examples/00-example-0/assets/code/example-1/counter.go	133	resolveMountSelector		false	false		false
examples/00-example-0/assets/code/example-1/counter.go	138	isEmbeddedExample		false	false		true
examples/00-example-0/logic.go	20	catalogDataURL		false	true	catalogDataURL	false
examples/00-example-0/logic.go	25	docsSourceURL		false	true	docsSourceURL	false
examples/00-example-0/logic.go	32	embeddedExampleURL		false	false		false
examples/00-example-0/logic.go	39	appendPageVersion		false	false		false
examples/00-example-0/logic.go	74	decodeCatalogJSON		false	true	decodeCatalogJSON	false
examples/00-example-0/logic.go	114	containsCatalogValue		false	false		false
examples/00-example-0/logic.go	124	decodeFetchedCatalog		false	true	decodeFetchedCatalog	false
examples/00-example-0/logic.go	133	decodeFetchedText		false	true	decodeFetchedText	false
examples/00-example-0/logic.go	142	catalogCacheKey		false	true	catalogCacheKey	false
examples/00-example-0/logic.go	147	markdownCacheKey		false	true	markdownCacheKey	false
examples/00-example-0/logic.go	152	loadCatalogResource		false	true	loadCatalogResource	false
examples/00-example-0/logic.go	166	loadMarkdownResource		false	true	loadMarkdownResource	false
examples/00-example-0/logic.go	182	errorString		false	false		false
examples/00-example-0/logic.go	190	normalizeLowercase		false	true	normalizeLowercase	false
examples/00-example-0/logic.go	195	filterItems		false	true	filterItems	true
examples/00-example-0/logic.go	215	sortItems		false	true	sortItems	false
examples/00-example-0/logic.go	241	countItemsByType		false	true	countItemsByType	false
examples/00-example-0/logic.go	252	findSelectedItem		false	true	findSelectedItem	false
examples/00-example-0/logic.go	262	filteredItemsSignature		false	true	filteredItemsSignature	true
examples/00-example-0/main.go	26	getContentKindLabel		false	true	getContentKindLabel	true
examples/00-example-0/main.go	40	statusBadgeClass		false	true	statusBadgeClass	false
examples/00-example-0/main.go	52	typeBadgeClass		false	true	typeBadgeClass	false
examples/00-example-0/main.go	64	renderLoadingSpinner		false	true	renderLoadingSpinner	true
examples/00-example-0/main.go	71	renderStatCard		false	true	renderStatCard	true
examples/00-example-0/main.go	79	renderCatalogFetchState		false	true	renderCatalogFetchState	true
examples/00-example-0/main.go	99	renderCountStatCard		false	true	renderCountStatCard	true
examples/00-example-0/main.go	107	renderHeroCodeSnippet		false	true	renderHeroCodeSnippet	true
examples/00-example-0/main.go	119	renderQuickCounterSnippetCode		false	false		true
examples/00-example-0/main.go	176	isQuickCounterSnippet		false	false		true
examples/00-example-0/main.go	183	isGoIdentifierStart		false	false		true
examples/00-example-0/main.go	187	isGoIdentifierPart		false	false		true
examples/00-example-0/main.go	191	renderHighlightedGoSource		false	false		true
examples/00-example-0/main.go	336	renderSourceSnippetCard		false	false		true
examples/00-example-0/main.go	349	renderOptionNodes		false	true	renderOptionNodes	true
examples/00-example-0/main.go	356	renderSortOptionNodes		false	true	renderSortOptionNodes	true
examples/00-example-0/main.go	363	renderItemCard		false	true	renderItemCard	true
examples/00-example-0/main.go	394	renderConceptArticle		false	true	renderConceptArticle	true
examples/00-example-0/main.go	442	renderParameterTable		false	true	renderParameterTable	true
examples/00-example-0/main.go	465	renderAPIReference		false	true	renderAPIReference	true
examples/00-example-0/main.go	528	renderCounterExample		false	true	renderCounterExample	true
examples/00-example-0/main.go	594	renderEmbeddedExample		false	false		true
examples/00-example-0/main.go	686	renderDisplaySurface		false	true	renderDisplaySurface	true
examples/00-example-0/main.go	707	renderCatalogHero		false	true	renderCatalogHero	true
examples/00-example-0/main.go	821	renderCatalogSidebar		false	true	renderCatalogSidebar	true
examples/00-example-0/main.go	872	renderDetailPanel		false	true	renderDetailPanel	true
examples/00-example-0/main.go	896	renderDocsDemosSite		false	true	renderDocsDemosSite	true
examples/00-example-0/main.go	1126	main		false	false		false
examples/00-example-0/main_test.go	20	testArticleItem		false	false		false
examples/00-example-0/main_test.go	44	testArticleMarkdown		false	false		false
examples/00-example-0/main_test.go	48	testAPIItem		false	false		false
examples/00-example-0/main_test.go	81	testHTMLAPIItem		false	false		false
examples/00-example-0/main_test.go	91	testGroupedAPIItem		false	false		false
examples/00-example-0/main_test.go	112	testExampleItem		false	false		false
examples/00-example-0/main_test.go	131	testEmbeddedExampleItem		false	false		false
examples/00-example-0/main_test.go	141	testDeprecatedExampleItem		false	false		false
